"Nome","l0","l1","l2","Genero","ConfId","Posicao"
"Éamonn Linehan","GreaterEuropean","British","\N","M","conf/icse/BrennanFLSFLDMCHC09",5
"Édouard Bonnet","GreaterEuropean","WestEuropean","French","M","conf/ijcai/Bonnet16",0
"Édouard Bonnet","GreaterEuropean","WestEuropean","French","M","conf/esa/BonnetM16",0
"Édouard Bonnet","GreaterEuropean","WestEuropean","French","M","conf/latin/BonnetEPS16",0
"Édouard Bonnet","GreaterEuropean","WestEuropean","French","M","conf/stacs/BonnetLP16",0
"Édouard Bonnet","GreaterEuropean","WestEuropean","French","M","conf/esa/BonnetEM16",0
"Éliane Jaulmes","GreaterEuropean","Jewish","\N","F","conf/fse/JaulmesJV02",0
"Éliane Jaulmes","GreaterEuropean","Jewish","\N","F","conf/crypto/JaulmesJ00",0
"Éliane Jaulmes","GreaterEuropean","Jewish","\N","F","conf/eurocrypt/JaulmesJ00",0
"Élisa Fromont","GreaterEuropean","British","\N","F","conf/kdd/NijssenF07",1
"Élisa Fromont","GreaterEuropean","British","\N","F","conf/icde/BlockeelCFGP08",2
"Élisa Fromont","GreaterEuropean","British","\N","F","conf/kdd/BlockeelCFGPR08",2
"Élisa Fromont","GreaterEuropean","British","\N","F","conf/cvpr/FernandoFMS12",1
"Élise Labonte-LeMoyne","GreaterEuropean","British","\N","F","conf/chi/Labonte-LeMoyne16",0
"Élise Lavoué","GreaterEuropean","WestEuropean","French","F","conf/www/CarrilloLP16",1
"Élise Lavoué","GreaterEuropean","WestEuropean","French","F","conf/www/ChampinCLLS12",2
"Élodie Edoh-Alove","GreaterEuropean","EastEuropean","\N","F","conf/dolap/BimonteENKR13",1
"Élton Gouveia","GreaterEuropean","WestEuropean","Hispanic","M","conf/chi/GouveiaAFCAGK13",0
"Émilien Antoine","GreaterEuropean","WestEuropean","French","M","conf/pods/AbiteboulBGA11",3
"Émilien Antoine","GreaterEuropean","WestEuropean","French","M","conf/kdd/AntoineJWKA15",0
"Émilien Antoine","GreaterEuropean","WestEuropean","French","M","conf/icde/AbiteboulAS12",1
"Émilien Antoine","GreaterEuropean","WestEuropean","French","M","conf/www/JatowtAKA15",1
"Émilien Antoine","GreaterEuropean","WestEuropean","French","M","conf/icde/AntoineGLMP11",0
"Émilien Antoine","GreaterEuropean","WestEuropean","French","M","conf/sigmod/AbiteboulAMST13",1
"Éric Colin de Verdière","GreaterEuropean","WestEuropean","French","M","conf/stoc/Cohen-AddadVKMM16",1
"Éric Colin de Verdière","GreaterEuropean","WestEuropean","French","M","conf/compgeom/ChambersVELLT08",1
"Éric Colin de Verdière","GreaterEuropean","WestEuropean","French","M","conf/compgeom/CabelloVL10a",1
"Éric Colin de Verdière","GreaterEuropean","WestEuropean","French","M","conf/soda/VerdiereE06",0
"Éric Colin de Verdière","GreaterEuropean","WestEuropean","French","M","conf/compgeom/MesmayV12",1
"Éric Colin de Verdière","GreaterEuropean","WestEuropean","French","M","conf/compgeom/Cohen-SteinerVY02",1
"Éric Colin de Verdière","GreaterEuropean","WestEuropean","French","M","conf/compgeom/CabelloVL10",1
"Éric Colin de Verdière","GreaterEuropean","WestEuropean","French","M","conf/compgeom/ChambersVELW06",1
"Éric Colin de Verdière","GreaterEuropean","WestEuropean","French","M","conf/stacs/VerdiereS08",0
"Éric Colin de Verdière","GreaterEuropean","WestEuropean","French","M","conf/esa/Verdiere10",0
"Éric Colin de Verdière","GreaterEuropean","WestEuropean","French","M","conf/compgeom/VerdiereHM14",0
"Éric Colin de Verdière","GreaterEuropean","WestEuropean","French","M","conf/compgeom/VerdiereGG12",0
"Éric Colin de Verdière","GreaterEuropean","WestEuropean","French","M","conf/esa/Verdiere15",0
"Éric Colin de Verdière","GreaterEuropean","WestEuropean","French","M","conf/focs/VerdiereL02",0
"Éric Fusy","GreaterEuropean","EastEuropean","\N","M","conf/soda/BodirskyFKV07",1
"Éric Fusy","GreaterEuropean","EastEuropean","\N","M","conf/soda/FusyPS05",0
"Éric Fusy","GreaterEuropean","EastEuropean","\N","M","conf/latin/AleardiFK14",1
"Éric Fusy","GreaterEuropean","EastEuropean","\N","M","conf/compgeom/AleardiFL08",1
"Éric Gaul","GreaterEuropean","WestEuropean","French","M","conf/recomb/GaulB06",0
"Éric Gaussier","GreaterEuropean","WestEuropean","French","M","conf/icml/TrouillonWRGB16",3
"Éric Gaussier","GreaterEuropean","WestEuropean","French","M","conf/sigir/GaussierG05",0
"Éric Gaussier","GreaterEuropean","WestEuropean","French","M","conf/cikm/ClinchantG09",1
"Éric Gaussier","GreaterEuropean","WestEuropean","French","M","conf/sigir/BabbarPGA14",2
"Éric Gaussier","GreaterEuropean","WestEuropean","French","M","conf/cikm/GoswamiAG13",2
"Éric Gaussier","GreaterEuropean","WestEuropean","French","M","conf/sigir/MaisonnasseGC07",1
"Éric Gaussier","GreaterEuropean","WestEuropean","French","M","conf/cikm/BabbarPGA12",2
"Éric Gaussier","GreaterEuropean","WestEuropean","French","M","conf/aaai/MirisaeeGT15",1
"Éric Gaussier","GreaterEuropean","WestEuropean","French","M","conf/icml/RendersGGPC06",1
"Éric Gaussier","GreaterEuropean","WestEuropean","French","M","conf/sigir/ClinchantG11",1
"Éric Gaussier","GreaterEuropean","WestEuropean","French","M","conf/acl/LiGA11",1
"Éric Gaussier","GreaterEuropean","WestEuropean","French","M","conf/cikm/LeroyAGM15",2
"Éric Gaussier","GreaterEuropean","WestEuropean","French","M","conf/acl/GaussierRMGD04",0
"Éric Gaussier","GreaterEuropean","WestEuropean","French","M","conf/acl/GoutteYG04",2
"Éric Gaussier","GreaterEuropean","WestEuropean","French","M","conf/kdd/AmoualianCGA16",2
"Éric Gaussier","GreaterEuropean","WestEuropean","French","M","conf/sigir/ClinchantG10",1
"Éric Grégoire","GreaterEuropean","WestEuropean","French","M","conf/aaai/BesnardGL15",1
"Éric Grégoire","GreaterEuropean","WestEuropean","French","M","conf/aaai/GregoireLM14",0
"Éric Grégoire","GreaterEuropean","WestEuropean","French","M","conf/aaai/GregoireIL16",0
"Éric Grégoire","GreaterEuropean","WestEuropean","French","M","conf/ijcai/GregoireKL16",0
"Éric Grégoire","GreaterEuropean","WestEuropean","French","M","conf/cade/GregoireMP09",0
"Éric Grégoire","GreaterEuropean","WestEuropean","French","M","conf/ijcai/GregoireLM13",0
"Éric Grégoire","GreaterEuropean","WestEuropean","French","M","conf/ijcai/GregoireMP07",0
"Éric Jaeger","GreaterEuropean","WestEuropean","Germanic","M","conf/sp/JaegerL14",0
"Éric Levieil","GreaterEuropean","WestEuropean","French","M","conf/fse/GranboulanLP06",1
"Éric Marchand","GreaterEuropean","WestEuropean","French","M","conf/cvpr/CollewetM08",1
